ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId
Multiplying Surds,Surds and Indices,B,Calculate the following: \( \sqrt{3} \times 2\sqrt{5} \),\( \sqrt{30} \),\( 2\sqrt{15} \),\( 6\sqrt{5} \),\( 10\sqrt{3} \),1323.0,,,
Calculate the area of a square,Area of Simple Shapes,B,A square has a side length of 8 cm. What is the area of the square?,\( 32 \mathrm{~cm}^{2} \),\( 64 \mathrm{~cm}^{2} \),\( 16 \mathrm{~cm}^{2} \),\( 8 \mathrm{~cm}^{2} \),1325.0,,,
Interpret Data from a Back-to-Back Stem and Leaf Plot,Data Representation and Interpretation,A,"The back-to-back stem and leaf plot below shows the heights (in cm) of two groups of students, Group A and Group B.

```
Stem | Group A | Group B
  12  |  5  7  9  |  3  6  8
  13  |  1  4  6  |  2  5  7
  14  |  2  8  9  |  1  4  6
  15  |  3  5  7  |  2  8  9
  16  |  1  4  6  |  3  5  7
```

What is the height of the tallest student in Group A?
",166 cm,161 cm,157 cm,149 cm,,,,1328.0
Rearrange formulae to change the subject where the subject appears once and two steps are needed,Rearranging Formula and Equations,A,"Rearrange the following equation to make \( x \) the subject:
\[
3x + 5 = 2x + 10
\]",\( x = 5 \),\( x = 15 \),\( x = 10 \),\( x = 2 \),,1330.0,,
Calculate the sum of angles in a quadrilateral,Angle Properties of Quadrilaterals,B,A student is asked to find the sum of the interior angles of a quadrilateral. The student writes down 450 degrees. Is the student correct?,"Yes, the sum of the angles in a quadrilateral is 450 degrees.","No, the sum of the angles in a quadrilateral is 360 degrees.","No, the sum of the angles in a quadrilateral is 180 degrees.","No, the sum of the angles in a quadrilateral is 540 degrees.",1331.0,,,
Calculate the volume of a cuboid,Volume of 3D Shapes,A,"A cuboid has a length of 5 cm, a width of 3 cm, and a height of 4 cm. What is the volume of the cuboid?","\( 60 \, \text{cm}^3 \)","\( 60 \, \text{cm}^2 \)","\( 120 \, \text{cm}^3 \)","\( 120 \, \text{cm}^2 \)",,,1335.0,
Calculate the value of a number raised to a power,Powers and Exponents,B,What is the value of \( 2 \) to the power of \( 4 \)?,\( 8 \),\( 16 \),\( 6 \),\( 24 \),1337.0,,,
Calculate the total time for a journey,Time,B,"A train journey from City A to City B takes 2 hours and 45 minutes. If the train departs at 3:15 PM, what time will it arrive at City B?",6:00 PM,6:15 PM,5:00 PM,5:15 PM,1339.0,,,
Convert percentages to decimals,Percentages and Decimals,A,Convert \( 45\% \) to a decimal.,\( 0.45 \),\( 4.5 \),\( 0.045 \),\( 45 \),,1341.0,,
Add decimals with different numbers of decimal places,Adding and Subtracting with Decimals,A,Calculate the sum of \( 2.34 \) and \( 0.5 \).,\( 2.84 \),\( 2.44 \),\( 2.39 \),\( 2.89 \),,1342.0,,
Substitution into Algebraic Expressions,Algebraic Substitution,B,Evaluate the expression \( 3x + 4 \) when \( x = 5 \).,\( 15 \),\( 19 \),\( 20 \),\( 9 \),1343.0,,,
Apply the correct order of operations,BIDMAS,A,"Evaluate the expression: \( 8 + 4 \times 2 - 3 \)
",\( 13 \),\( 17 \),\( 11 \),\( 15 \),,1345.0,,
Calculate the square of a number,Squaring Numbers,A,What is the square of 52?,2704,104,2604,5252,,,,1346.0
Identify the Perpendicular Bisector of a Line Segment,Geometry - Perpendicular Bisectors and Circles,A,"In the diagram below, a circle is drawn with a line segment \( AB \) as its diameter. Point \( C \) is the center of the circle. Which of the following statements is true about the line segment \( CD \) that passes through the center \( C \) and is perpendicular to \( AB \)?

![A circle with diameter AB and center C. A line segment CD is drawn from C perpendicular to AB, intersecting AB at point D.]
",\( CD \) is the perpendicular bisector of \( AB \).,\( CD \) is a radius of the circle.,\( CD \) is a chord of the circle.,\( CD \) is a tangent to the circle.,,1347.0,,
Identify congruent shapes,Congruence and Similarity,A,"Which of the following shapes is congruent to the given shape? ![A diagram showing a triangle with sides 3 cm, 4 cm, and 5 cm, and a right angle between the 3 cm and 4 cm sides.]","A triangle with sides 3 cm, 4 cm, and 5 cm, and a right angle between the 3 cm and 4 cm sides.","A triangle with sides 3 cm, 4 cm, and 6 cm, and a right angle between the 3 cm and 4 cm sides.","A triangle with sides 6 cm, 8 cm, and 10 cm, and a right angle between the 6 cm and 8 cm sides.","A triangle with sides 3 cm, 5 cm, and 6 cm, and a right angle between the 3 cm and 5 cm sides.",,,1351.0,
Understand the correct placement of cumulative frequency,Cumulative Frequency,B,"A teacher recorded the test scores of 30 students in a class. The scores are grouped into the following intervals: 0-20, 21-40, 41-60, 61-80, and 81-100. The cumulative frequency for each interval is as follows:

- 0-20: 5
- 21-40: 12
- 41-60: 20
- 61-80: 27
- 81-100: 30

Where should the cumulative frequency for the interval 41-60 be plotted on a cumulative frequency graph?
",At the midpoint of the interval (50.5),At the upper boundary of the interval (60),At the lower boundary of the interval (41),At the midpoint of the entire dataset (50),1352.0,,,
Multiplying Odd Numbers,Multiplication of Integers,A,What is the product of 7 and 9?,63,62,64,61,,,1353.0,
Rounding to the Nearest 10,"Rounding to the Nearest Whole (10, 100, etc)",B,What is \( 105 \) rounded to the nearest \( 10 \) ?,\( 100 \),\( 110 \),\( 105 \),\( 150 \),1355.0,,,
Rounding to the Nearest Whole Number,Rounding Decimals,B,"Round the following number to the nearest whole number:
\( 12.95 \)",\( 12 \),\( 13 \),\( 12.9 \),\( 13.0 \),1359.0,,,
Use the grid method to multiply two-digit numbers,Multiplication with the Grid Method,A,"Use the grid method to find the product of \( 24 \times 13 \).

|   | 20 | 4 |
|---|----|---|
| 10 |    |   |
| 3  |    |   |

What is the correct product?
",\( 312 \),\( 272 \),\( 302 \),\( 282 \),,1366.0,,
Identify a transversal and parallel lines,Angle Facts with Parallel Lines,C,"In the diagram below, which line is the transversal and which lines are parallel? ![Diagram showing two horizontal lines (A and B) and a diagonal line (C) intersecting both horizontal lines.]","Line A is the transversal, and lines B and C are parallel.","Line B is the transversal, and lines A and C are parallel.","Line C is the transversal, and lines A and B are parallel.","Line A is the transversal, and lines B and C are not parallel.",1368.0,,,
Calculate the diameter of a circle given the radius,Circles and Their Properties,B,The radius of a circle is 12 cm. What is the diameter of the circle?,6 cm,24 cm,12 cm,36 cm,1369.0,,,
Order a set of numbers from largest to smallest,Ordering Numbers,A,"Order the following numbers from largest to smallest:
\[
-3, 5, -1, 0, 2
\]","\( 5, 2, 0, -1, -3 \)","\( -3, -1, 0, 2, 5 \)","\( 5, 2, 0, -3, -1 \)","\( 5, 0, 2, -1, -3 \)",,1372.0,,
Calculate the area of a sector,Area of Sectors,C,A sector of a circle has a radius of 10 cm and a central angle (theta) of 60 degrees. What is the area of the sector?,\( 50 \pi \) cm²,\( 50 \) cm²,\( \frac{50 \pi}{3} \) cm²,\( \frac{100 \pi}{3} \) cm²,1375.0,,,
Calculate the second multiple of a square root,Square Roots and Multiples,A,What is the second multiple of the square root of 16?,8,32,4,16,,1377.0,,
Perform written division using the bus-stop method,Written Division,A,Solve the following division problem using the bus-stop method: \( 1452 \div 12 \),\( 121 \),\( 111 \),\( 120 \),\( 110 \),,1378.0,,
Identify the gradient of a line from its equation,Gradient and Intercept of a Line from the Equation,A,What is the gradient of the line represented by the equation \( y = 3x + 4 \)?,\( 3 \),\( 4 \),\( 7 \),\( 1 \),,1381.0,,
Identify the length scale factor between two similar shapes,Length Scale Factors in Similar Shapes,A,"Two similar rectangles are shown below. The area of the smaller rectangle is 16 cm², and the area of the larger rectangle is 144 cm². What is the length scale factor between the smaller and the larger rectangle?

[Diagram of two similar rectangles, with the smaller one having a length of 4 cm and a width of 4 cm, and the larger one having a length of 12 cm and a width of 12 cm]
",3,9,12,16,,1382.0,,
Draw 3D shapes on isometric paper,Isometric Drawing,C,Which of the following is the correct isometric drawing of a cube with a side length of 3 units?,"![A drawing of a cube on isometric paper, but the sides are not parallel to the grid lines and the cube appears distorted]()","![A drawing of a cube on isometric paper, but the cube is drawn as a flat parallelogram with no depth]()","![A correct drawing of a cube on isometric paper, with all sides parallel to the grid lines and the correct side length of 3 units]()","![A drawing of a cube on isometric paper, but the cube is drawn with the wrong side length, making it appear larger than 3 units]()",1385.0,,,
Write the equation of a straight line given the gradient and y-intercept,Linear Equations,A,A straight line has a gradient of 3 and a y-intercept of -2. What is the equation of the line?,\( y = 3x - 2 \),\( y = -2x + 3 \),\( y = 3x + 2 \),Not enough information to write the equation,,,,1390.0
Find the y-intercept of a line given two points,Linear Equations,A,"The points \( (2, 5) \) and \( (4, 9) \) lie on a straight line. What is the y-intercept of this line?",\( 1 \),\( 3 \),\( 5 \),\( 7 \),,,1391.0,
Calculate volume of a 3D shape using unit cubes,Volume and Surface Area,A,"A rectangular prism is made up of unit cubes. The prism is 3 units long, 2 units wide, and 4 units high. How many unit cubes are used to make this prism? ![A 3D image of a rectangular prism with 3 layers of 2x4 unit cubes visible.]",24 unit cubes,12 unit cubes,18 unit cubes,30 unit cubes,,1395.0,,
Reflect a point in a horizontal line with the line of reflection given as an equation,Reflection,A,"A point, \( P \), has coordinates \( (3, 7) \).
The point is reflected in the line \( y = 5 \).
What are the new coordinates of point \( P \)?","\( (3, 3) \)","\( (3, 5) \)","\( (5, 7) \)","\( (3, -7) \)",,,1397.0,
Distinguish between sine and cosine graphs,Trigonometric Functions,A,"The graph of \( y = \sin(x) \) is shown below. Which of the following is the correct graph of \( y = \cos(x) \)?

![Graph of y = sin(x) from 0 to 2π, showing one complete cycle with peaks at π/2 and 3π/2, and troughs at 3π/2 and 5π/2.]
","A graph that starts at 1, goes down to -1 at π, and then back up to 1 at 2π.","A graph that starts at 0, goes up to 1 at π/2, and then down to -1 at 3π/2.","A graph that starts at -1, goes up to 1 at π, and then back down to -1 at 2π.","A graph that starts at 0, goes down to -1 at π/2, and then up to 1 at 3π/2.
",,1401.0,,
Multiplying Integers by Decimals,Multiplying and Dividing with Decimals,A,Calculate \( 7 \times 2.5 \).,\( 17.5 \),\( 19.5 \),\( 175 \),\( 195 \),,,1404.0,
Estimate Capacity,Volume and Capacity,D,"A water tank is in the shape of a rectangular prism. The dimensions of the tank are 2 meters in length, 1 meter in width, and 1.5 meters in height. If the tank is filled to 75% of its capacity, how many liters of water does it contain? (Note: 1 cubic meter = 1000 liters)",2250 liters,1500 liters,3000 liters,1125 liters,1405.0,,,
Distinguish between histograms and bar charts,Data Representation,D,"A teacher collected data on the number of books read by students in a month. The data is grouped into intervals. Which of the following best represents the data if the intervals are continuous and the frequency is shown by the area of the bars?
",A bar chart where each bar represents a different genre of books.,A histogram where the width of each bar represents the interval of the number of books read.,A bar chart where the height of each bar represents the number of students.,A histogram where the height of each bar represents the number of students and the width represents the interval of the number of books read.,,,1407.0,
Understand the difference between 'and' and 'or' in probability,Probability of Combined Events,A,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If you randomly pick one marble, what is the probability that it is either red or blue?
",\( \frac{8}{10} \),\( \frac{15}{10} \),\( \frac{3}{10} \),\( \frac{1}{10} \),,1409.0,,
Reflections in the Coordinate Plane,Transformations,C,The graph of \( y = f(x) \) is reflected over the line \( y = x \). Which of the following represents the new equation of the graph?,\( y = f(-x) \),\( y = -f(x) \),\( x = f(y) \),\( y = f(x) \),1412.0,,,
Evaluate expressions with negative exponents,Negative and Fractional Indices,C,Evaluate the expression \( 2^{-3} \).,\( 8 \),\( -8 \),\( \frac{1}{8} \),\( -\frac{1}{8} \),1413.0,,,
Understand the concept of acceleration and deceleration,Motion and Velocity,B,A car is traveling at a constant speed of 60 km/h. It then starts to decelerate and comes to a complete stop in 10 seconds. Which of the following statements is true about the car's deceleration?,The car's velocity decreased instantly to 0 km/h.,The car's velocity decreased gradually over 10 seconds.,The car's velocity increased gradually over 10 seconds.,The car's velocity remained constant throughout the 10 seconds.,1414.0,,,
Estimate the volume of a 3D shape,Volume of 3D Shapes,A,"A rectangular prism has a length of 10 cm, a width of 5 cm, and a height of 3 cm. Estimate the volume of the prism.","\( 150 \, \text{cm}^3 \)","\( 15 \, \text{cm}^3 \)","\( 80 \, \text{cm}^3 \)","\( 180 \, \text{cm}^3 \)",,1423.0,,
Identify the measure of an angle in a geometric figure,Angles in Geometric Figures,B,"In the diagram below, \( \angle ABC \) and \( \angle CBD \) are adjacent angles. If \( \angle ABC = 50^\circ \), what is the measure of \( \angle CBD \)?

![A diagram showing a straight line with point A, B, and D. Point C is on the line segment BD, and angle ABC is marked as 50 degrees.]
",\( 130^\circ \),\( 50^\circ \),\( 180^\circ \),\( 100^\circ \),1434.0,,,
Simplify expressions involving surds,Surds,A,Simplify the expression \(\frac{\sqrt{18}}{\sqrt{2}}\).,\( 3 \),\( 9 \),\( 6 \),\( \sqrt{9} \),,1438.0,,
Solve Simultaneous Equations,Simultaneous Equations,B,"Solve the following system of equations:
\[
\begin{array}{l}
2x + 3y = 14 \\
4x + 6y = 28
\end{array}
\]

What is the value of \( x \) and \( y \)?","\( x = 2, y = 2 \)","\( x = 7, y = 0 \)","\( x = 1, y = 4 \)","\( x = 3, y = 2 \)",1439.0,,,
Understand decimal place value,Decimal Place Value,B,What is the value of the digit 5 in the number 3.52?,5 ones,5 tenths,5 hundredths,5 tens,1441.0,,,
Calculate the perimeter of a rectangle,Perimeter of Simple Shapes,B,What is the perimeter of a rectangle with a length of 8 cm and a width of 5 cm?,13 cm,26 cm,40 cm,18 cm,1446.0,,,
Solve quadratic equations by factorisation,Quadratic Equations,A,Solve the quadratic equation \( (x - 3)(x + 5) = 0 \).,\( x = 3 \) and \( x = -5 \),\( x = -3 \) and \( x = 5 \),\( x = 3 \) and \( x = 5 \),\( x = -3 \) and \( x = -5 \),,1448.0,,
Understand and apply different types of roots,Roots and Radicals,A,Simplify the following expression: \( \sqrt[3]{27} \),\( 3 \),\( 9 \),\( 27 \),\( 81 \),,1451.0,,
Solve linear simultaneous equations requiring a scaling of one expression,Simultaneous Equations,B,"Solve the following pair of simultaneous equations:
\[
2x + 3y = 11
\]
\[
4x + 6y = 22
\]",\( \begin{array}{l}x=2 \\ y=3\end{array} \),\( \begin{array}{l}x=1 \\ y=3\end{array} \),\( \begin{array}{l}x=3 \\ y=2\end{array} \),\( \begin{array}{l}x=0 \\ y=\frac{11}{3}\end{array} \),1454.0,,,
Interpret frequency on a histogram,Histograms,C,"The histogram below shows the distribution of the number of books read by students in a month. Each bar represents a range of the number of books read, and the height of each bar represents the frequency density. 

![A histogram with the x-axis labeled ""Number of Books"" and the y-axis labeled ""Frequency Density"". The bars are as follows: 0-2 books: 0.5, 3-5 books: 1.0, 6-8 books: 1.5, 9-11 books: 0.75, 12-14 books: 0.25. The width of each bar is 3 units.]

If the total number of students is 100, how many students read between 6 and 8 books in a month?
",15,45,30,1.5,,1462.0,,
Add fractions with different denominators,Adding and Subtracting Fractions,B,Calculate the sum of the fractions: \(\frac{2}{3} + \frac{4}{5}\),\(\frac{6}{15}\),\(\frac{22}{15}\),\(\frac{14}{15}\),\(\frac{10}{8}\),1463.0,,,
Calculate the probability of an event,Probability of Single Events,B,"A bag contains 5 red marbles, 3 blue marbles, and 2 green marbles. If a marble is randomly selected from the bag, what is the probability that it is not blue?
",\( \frac{3}{10} \),\( \frac{7}{10} \),\( \frac{5}{10} \),\( \frac{2}{10} \),1465.0,,,
Convert between units of mass,Units of Mass,B,"A truck can carry a maximum load of 2 tons. If a shipment of goods weighs 1,800 kg, how much more weight can the truck carry before reaching its maximum capacity?",200 kg,"2,200 kg","20,200 kg","1,200 kg",1466.0,,,
Reverse a Percentage Decrease,Percentages and Proportional Reasoning,A,A store reduces the price of a product by 20%. The new price is $80. What was the original price of the product?,$100,$96,$64,$125,,1472.0,,
Identify the correct position on a number line,Number Line and Position,B,"A number line starts at 0 and ends at 10. If you move 4 units to the right from 3, where do you end up?",4,7,1,10,1474.0,,,
Reflect a function in the y-axis,Transformations of Functions,B,"The graph of \( y = f(x) \) is shown below. Which graph represents \( y = f(-x) \)?

![A graph of a function y = f(x) with a curve that starts at (-3, 0), rises to a peak at (0, 3), and then falls to (3, 0).]
",A graph that is the same as the original but reflected across the x-axis.,A graph that is the same as the original but reflected across the y-axis.,A graph that is the same as the original but shifted 3 units to the right.,A graph that is the same as the original but shifted 3 units to the left.,1475.0,,,
Convert between square metres and square centimetres,Area Conversions,B,A rectangular room has an area of 5 square metres. What is the area of the room in square centimetres?,5000 square centimetres,50000 square centimetres,500 square centimetres,500000 square centimetres,1476.0,,,
Apply Scale Factors to Similar Shapes,Similarity and Scale Factors,A,Two similar rectangles have a scale factor of 3. The larger rectangle has a length of 18 cm and a width of 12 cm. What are the dimensions of the smaller rectangle?,6 cm by 4 cm,54 cm by 36 cm,9 cm by 6 cm,18 cm by 12 cm,,1477.0,,
Express one quantity as a fraction of another,Fractions of an Amount,B,"In a class of 30 students, 15 students are wearing glasses. What fraction of the class is wearing glasses?",\( \frac{1}{15} \),\( \frac{15}{30} \),\( \frac{30}{15} \),\( \frac{1}{30} \),1478.0,,,
Integer x Decimal Multiplication,Multiplying and Dividing with Decimals,B,Calculate \( 5 \times 0.6 \).,\( 3 \),\( 3.0 \),\( 0.3 \),\( 30 \),1482.0,,,
Understand error intervals for decimals,Rounding and Error Intervals,B,The length of a piece of wood is given as 5.60 meters. What is the error interval for this measurement?,\( 5.55 \leq \text{length} < 5.65 \),\( 5.595 \leq \text{length} < 5.605 \),\( 5.5 \leq \text{length} < 5.7 \),\( 5.6 \leq \text{length} < 5.7 \),1485.0,,,
Estimate Population Size Using Capture-Recapture Method,Sampling and Estimation,A,"A wildlife researcher is using the capture-recapture method to estimate the population of rabbits in a forest. Initially, 50 rabbits are captured, marked, and released. A few days later, 60 rabbits are captured, and it is found that 15 of them are marked. What is the best estimate of the total rabbit population in the forest?
",200,45,300,100,,1486.0,,
Identify outliers in a data set,Statistics and Data Analysis,B,"Consider the following set of test scores: 85, 88, 90, 92, 95, 96, 98, 100, 102, 105. Identify the outlier in this data set.",85,105,90,98,1489.0,,,
Identify the next term in a sequence involving positive and negative terms,Sequences - Others,A,"What is the next term in this sequence?
\[
5, -5, 10, -10, 15, -15, \ldots
\]",\( 20 \),\( -20 \),\( 15 \),\( -15 \),,1493.0,,
Simplify algebraic fractions by considering the grouping within the fraction,Simplifying Algebraic Fractions,A,"Simplify the following expression:
\[
\frac{2x + 6}{4}
\]",\( \frac{x + 3}{2} \),\( \frac{2x + 6}{4} \),\( x + 3 \),\( \frac{x + 6}{2} \),,,1496.0,
Interpret 3D Views,3D Shapes and Views,A,"A 3D shape is made up of several cubes. The front view and the side view of the shape are shown below. Which of the following is the correct plan view of the shape?

Front View: ![A 2D representation of the front view of a 3D shape made up of cubes. The front view shows a 3x3 grid with the top left 2x2 grid filled with cubes.]
Side View: ![A 2D representation of the side view of the same 3D shape. The side view shows a 3x3 grid with the top left 2x2 grid filled with cubes.]

A. ![A 2D representation of a 3x3 grid with the top left 2x2 grid filled with cubes.]
B. ![A 2D representation of a 3x3 grid with the top left 2x2 grid and the bottom right 1x1 grid filled with cubes.]
C. ![A 2D representation of a 3x3 grid with the top left 2x2 grid and the middle right 1x1 grid filled with cubes.]
D. ![A 2D representation of a 3x3 grid with the top left 2x2 grid and the bottom left 1x1 grid filled with cubes.]
",A,B,C,D,,1497.0,,
Understand the effect of a scale factor on the position of an enlarged image,Enlargement,A,"Shape A is enlarged to get shape B. The centre of enlargement is at point O. If the scale factor is 2, which of the following statements is correct about the position of shape B relative to shape A and point O?","Shape B is on the same side of point O as shape A, but twice as far from O.","Shape B is on the opposite side of point O from shape A, but twice as far from O.","Shape B is on the same side of point O as shape A, but half as far from O.","Shape B is on the opposite side of point O from shape A, but half as far from O.",,1498.0,,
Simplify expressions involving exponents,Exponents and Powers,A,Simplify the expression: \( (2^3) \times (2^4) \),\( 2^7 \),\( 2^{12} \),\( 4^7 \),\( 4^{12} \),,1501.0,,
Calculate the group width from a grouped frequency table,Grouped Frequency Tables,B,"The following grouped frequency table shows the ages of participants in a survey. Calculate the group width for the age group 20-29.

| Age Group | Frequency |
|-----------|-----------|
| 10-19     | 15        |
| 20-29     | 25        |
| 30-39     | 20        |
| 40-49     | 10        |
",250,9,10,25,1502.0,,,
Correctly Plotting Data in a Histogram,Data Representation and Interpretation,B,"A teacher collected the following data on the number of books read by students in a month. The data is grouped into intervals as shown below:

- 0-2 books: 5 students
- 3-5 books: 10 students
- 6-8 books: 15 students
- 9-11 books: 8 students
- 12-14 books: 2 students

When drawing a histogram to represent this data, where should the teacher plot the frequency for the interval 3-5 books on the horizontal axis?
","At the midpoint of the interval, which is 4","At the lower boundary of the interval, which is 3","At the upper boundary of the interval, which is 5","At the midpoint of the entire range of data, which is 7",1503.0,,,
Multiply Surds,Surds and Indices,B,Simplify the expression \(\sqrt{5} \times \sqrt{7}\).,\(\sqrt{12}\),\(\sqrt{35}\),\(12\),\(35\),1504.0,,,
Solve simultaneous equations by transforming terms,Simultaneous Equations,B,"Solve the following system of equations:
\[
\begin{cases}
2x + 3y = 11 \\
4x - y = 7
\end{cases}
\]

What is the value of \( x \)?
",\( x = 2 \),\( x = 3 \),\( x = 4 \),\( x = 5 \),1506.0,,,
Sketch the graph of a factorised quadratic equation,Quadratic Equations,A,"Sketch the graph of the quadratic equation \( y = (x - 3)(x + 2) \).

Which of the following graphs correctly represents the equation?
","![A graph with the x-axis from -5 to 5 and the y-axis from -10 to 10. The graph is a parabola that opens upwards, with x-intercepts at x = 3 and x = -2.]","![A graph with the x-axis from -5 to 5 and the y-axis from -10 to 10. The graph is a parabola that opens upwards, with x-intercepts at x = -3 and x = 2.]","![A graph with the x-axis from -5 to 5 and the y-axis from -10 to 10. The graph is a parabola that opens upwards, with x-intercepts at x = 3 and x = 2.]","![A graph with the x-axis from -5 to 5 and the y-axis from -10 to 10. The graph is a parabola that opens upwards, with x-intercepts at x = -3 and x = -2.]",,1512.0,,
Calculate a fraction of an amount,Fractions of an Amount,A,What is \( \frac{1}{4} \) of \( 20 \)?,\( 5 \),\( 15 \),\( 4 \),\( 16 \),,1515.0,,
Order decimals from smallest to largest,Ordering Decimals,A,"Arrange the following decimals in order from smallest to largest: \( 0.7, 0.07, 0.77, 0.007 \)","\( 0.007, 0.07, 0.7, 0.77 \)","\( 0.77, 0.7, 0.07, 0.007 \)","\( 0.07, 0.007, 0.7, 0.77 \)","\( 0.7, 0.77, 0.07, 0.007 \)",,1518.0,,
Understand the effect of scale factors on the dimensions of shapes,Scale Factors and Similarity,B,"A rectangle has a length of 10 cm and a width of 5 cm. If the rectangle is scaled by a factor of 2, what will be the new dimensions of the rectangle?",The new dimensions will be 10 cm by 5 cm.,The new dimensions will be 20 cm by 10 cm.,The new dimensions will be 5 cm by 2.5 cm.,The new dimensions will be 15 cm by 7.5 cm.,1521.0,,,
Plotting Cumulative Frequency,Cumulative Frequency Diagrams,B,"The following table shows the number of books read by students in a month. Plot the cumulative frequency and determine the number of students who have read 3 or fewer books.

\begin{tabular}{|c|c|}
\hline
Number of Books & Frequency \\
\hline
0 & 5 \\
\hline
1 & 10 \\
\hline
2 & 15 \\
\hline
3 & 10 \\
\hline
4 & 5 \\
\hline
\end{tabular}

What is the cumulative frequency for 3 or fewer books?",40,30,20,10,1531.0,,,
Understand fractions of a quantity using bar models,Fractions of an Amount,A,"A bar model represents a whole amount of 24. If 3/8 of the bar is shaded, how many units are shaded?",9,6,3,18,,1538.0,,
Simplify algebraic expressions by combining like terms,Algebraic Expressions,B,Simplify the expression \( 5x + 3x \).,\( 53x \),\( 8x \),\( 15x \),\( 2x \),1544.0,,,
Calculate the surface area of a prism,Surface Area of Prisms,B,"A rectangular prism has a length of 6 cm, a width of 4 cm, and a height of 3 cm. What is the total surface area of the prism?","\( 108 \, \text{cm}^2 \)","\( 96 \, \text{cm}^2 \)","\( 54 \, \text{cm}^2 \)","\( 72 \, \text{cm}^2 \)",,,1545.0,
Interpret Cumulative Frequency Diagrams,Cumulative Frequency,B,"A cumulative frequency diagram is used to represent the heights of 100 students in a school. The horizontal axis is labelled with the heights in centimeters. The vertical axis is labelled with the cumulative frequency. 

The diagram shows that 20 students have a height of 150 cm or less, 50 students have a height of 160 cm or less, and 80 students have a height of 170 cm or less.

What is the upper bound of the height for the 50th student?
",150 cm,160 cm,170 cm,165 cm,1546.0,,,
Simplify Unit Fractions,Fractions,A,Which of the following is the simplest form of the fraction \( \frac{1}{8} \)?,\( \frac{1}{8} \),\( \frac{1}{4} \),\( \frac{1}{2} \),\( \frac{1}{16} \),,1548.0,,
Divide proper fractions in the form: Fraction ÷ Fraction,Dividing Fractions,A,"Calculate the following:
\[
\frac{3}{4} \div \frac{2}{5}
\]",\( \frac{15}{8} \),\( \frac{6}{20} \),\( \frac{8}{15} \),\( \frac{15}{20} \),,1551.0,,
Calculate the median of a dataset,"Averages (mean, median, mode) from a List of Data",A,"Find the median of the following set of numbers: \(-5, 3, -2, 7, 0, -4, 1\)",\( 0 \),\( -2 \),\( 1 \),This problem cannot be solved,,,,1555.0
Substitution into Algebraic Expressions,Algebraic Substitution,C,"If \( x = 3 \), what is the value of \( 4x \)?",\( 3 \),\( 7 \),\( 12 \),\( 1 \),1562.0,,,
Calculate combined probability with no replacement,Probability,A,A bag contains 5 red marbles and 3 blue marbles. Two marbles are drawn one after the other without replacement. What is the probability that the first marble is red and the second marble is blue?,\( \frac{15}{56} \),\( \frac{15}{64} \),\( \frac{15}{28} \),\( \frac{15}{32} \),,,1563.0,
Interpret word problems involving time,Time and Rates,C,"A car travels at a constant speed of 60 miles per hour. If the car starts its journey at 2:00 PM, at what time will it have traveled 180 miles?",3:00 PM,4:00 PM,5:00 PM,6:00 PM,1564.0,,,
Calculate the area of a composite shape with half squares,Area of Simple Shapes,B,What is the area of the shaded region in the grid below? Each square in the grid has an area of 1 square unit. The shaded region includes full squares and half squares. ![A grid with a composite shape made up of 5 full squares and 4 half squares. The shape is irregular and includes both full and half squares.],7 square units,6.5 square units,8 square units,9 square units,1565.0,,,
Identify suitable statistical diagrams for comparing results over time,Statistical Diagrams,C,A teacher wants to compare the average test scores of her class over the last four quarters. Which of the following diagrams would be most suitable for this purpose?,Pie chart,Bar graph,Line graph,Pictogram,1567.0,,,
Identify the nth term of a linear sequence,Linear Sequences (nth term),B,"Consider the sequence: 3, 7, 11, 15, ...

What is the nth term of this sequence?",\( 3n + 4 \),\( 4n - 1 \),\( 4n + 3 \),\( 3n + 1 \),1569.0,,,
Identify and Label Angles in a Triangle,"Basic Angle Facts (straight line, opposite, around a point, etc)",B,"In the triangle below, the angles are labelled as follows: \(\angle ABC = 50^\circ\), \(\angle BCA = 60^\circ\), and \(\angle CAB = 70^\circ\). Which of the following is the correct way to label the angle at vertex \(A\)?

![A triangle with vertices A, B, and C. The angle at vertex A is marked with 70 degrees, the angle at vertex B is marked with 50 degrees, and the angle at vertex C is marked with 60 degrees.]
",\(\angle A\),\(\angle BAC\),\(\angle CBA\),\(\angle ACB\),1570.0,,,
Scale Perimeter of a Polygon,Scaling and Perimeter,A,"A regular hexagon has a perimeter of 30 cm. If the hexagon is scaled by a factor of 2, what is the new perimeter of the hexagon?",60 cm,120 cm,15 cm,90 cm,,1573.0,,
Identify 2D triangles within a 3D cuboid,Geometry and Spatial Visualization,A,"A cuboid is shown below. Identify the triangle formed by the points A, B, and D. ![A 3D cuboid with vertices labeled A, B, C, D, E, F, G, H. Points A, B, and D are on the same face of the cuboid.]()
",Triangle ABD is a right-angled triangle.,Triangle ABD is an equilateral triangle.,Triangle ABD is an isosceles triangle.,Triangle ABD is a scalene triangle.,,1574.0,,
